id_loker,pulau,provinsi,kota,job_position,skills_to_have,pendidikan,company_name,job_category,job_salary,job_type,platform
920,Jawa,DKI Jakarta,Jakarta,Tutor,"A Level, Leadership And Managing, Ability In English, English Speaking, Lead Generation, Leadership Development, English Language, English Writing, English, Presenting, Leadership Skills, Team Leadership, Presentation Design, Leadership, English Teaching, Educational Leadership, English-indonesia Translation, Reporting/presenting, Home Tutor, indonesia-english translation, Strong Leadership Skills, Presentation, Effective Leadership, Literature, Teaching English, Sales, Teacher, Sales Presentations, International School, Fluent In English Both Oral And Written, Good Communication Skills, Good Teaching Skill, Good Presentation Skill, Youth Leadership, Presentation Skills, English & Chinese, Organizational Leadership",s1,PT. Bintang Jaya Unggul Sentosa,Education,"IDR 1,000,000-4,000,000 / month",PROJECT_BASED,glints
921,Jawa,DKI Jakarta,Jakarta,Tutor,"A Level, Private Tutor, As Level, Ability Speak English, Analytical Skills, Home Tutor, Cambridge Curriculum, National Curriculum, Teaching, Home Tuition, Good Communication Skills, Good Teaching Skill, Mathematics",s1,PT. Bintang Jaya Unggul Sentosa,Education,"IDR 1,000,000-4,000,000 / month",PROJECT_BASED,glints
922,Jawa,DKI Jakarta,Jakarta,Marketing,"Work Under Pressure, Customer Service, Marketing Communications, Seo/sem, Marketing, Marketing Management, problem solving skills, Brand Management, Corporate Branding, Negosiasi Dan Presentasi, Business Operations, New Business Development, Business Process, Social Media Marketing, Problem Solver, Problem Solving And Time Management, Digital Marketing, Presenting, Creative Problem Solving, Problem Solving, Branding and Identity, Complex Problem Solving, Market Research, Research, Presentation Design, Sales And Marketing, Brand Marketing, SEO, such as Search Engine Optimization (SEO), Reporting/presenting, Business Development",tidak dicantumkan,PT. Bintang Jaya Unggul Sentosa,Marketing,"IDR 2,500,000-5,000,000 / month",INTERNSHIP,glints
923,Jawa,DKI Jakarta,Jakarta,Mobile Developer,"Mobile Development, React Native, Flutter, Node.js, ReactJS",tidak dicantumkan,Cranium.id,Software Engineering,Perusahaan tidak menampilkan gaji,INTERNSHIP,glints
924,Jawa,DKI Jakarta,Jakarta,Videographer,"Video And Sound Editing, Adobe Creative Suite, Character Animation, Marketing Communications",s1,PT. Bintang Jaya Unggul Sentosa,Media & Communications,"IDR 2,000,000-4,200,000 / month",FULL_TIME,glints
925,Jawa,DKI Jakarta,Jakarta,Devops Engineer,"JavaScript, Datadog, English, PostgreSQL, Linux, Docker, Kibana, nodejs, Amazon Web Services (AWS), Agile Scrum, Scrum",tidak dicantumkan,Kaddra Pte Ltd,Software Engineering,"IDR 15,000,000-21,000,000 / month",FULL_TIME,glints
926,Sumatera,Kepulauan Riau,Batam,Fullstack Developer,"Redux, Node.js, JavaScript, ReactJS, Amazon Web Services (AWS)",tidak dicantumkan,Kaddra Pte Ltd,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
927,Jawa,DKI Jakarta,Jakarta,Ui/Ux Designer,"Agility, Wireframe Design, Problem Solving, User Interface Design, Stakeholder Management, Ui/ux Design 2.5/5, Communication, User Experience Design",s1,Pluang,Design,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
928,Jawa,DKI Jakarta,Jakarta,Purchasing Staff,"Microsoft Excel, Negotiation Skill, Microsoft Word",s1,PT Pentha Artha Impressi,Administrative,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
929,Jawa,DKI Jakarta,Jakarta,Marketing,"Marketing Communications, Digital Marketing, Social Media Advertising, Event Management, Marketing Strategy, Graphic Design, Adobe Photoshop",d3,Pt. Integra Mitra Solusi,Media & Communications,"IDR 5,000,000-6,000,000 / month",FULL_TIME,glints
930,Jawa,DI Yogyakarta,Yogyakarta,Backend Developer,"Nosql, Sql, Nodejs., Cloud Service, Digital Ocean, Rest Api, Cloud Computing, Ali Cloud, ExpressJS, Vps, Adonisjs, Google Cloud Platform, Agile Environment",tidak dicantumkan,PT Photostory Karya Bersama,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
931,Jawa,Jawa Timur,Malang,Staff Data Statistik,"Management, Analytical Skills, Business Development, Business Analyst, Good Communication Skills, Data Analysis, Business Strategy, Business Analysis, Finance, Business Planning",tidak dicantumkan,Java Karlos Indonesia,Data Science,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
932,Jawa,DKI Jakarta,Jakarta,Social Media Strategist,"Corel Draw, Marketing Communications, Community Engagement, Employee Engagement, Social Media Marketing, Client Engagement, Good Communication, Facebook Analytics, Creativity Skills, Content Writing, Creative Thinking, Community Management, Creative, facebook marketing, Customer Engagement, Admin Media Sosial, facebook API, Facebook Ads Manager, Facebook Advertising, Communication Skills, Content Creation, Creative Writing, Facebook Ads, Berkomunikasi Dengan Baik, Communication, Media Sosial, Facebook, Facebook Business Manager, Community Development, Social Media Strategy, Corporate Communications, Telecommunications, Copywriting, E-commerce, Good Communication Skills, Community Outreach, Facebook Insight, Consulting, Facebook Pages, Content Marketing",tidak dicantumkan,PT. Bintang Jaya Unggul Sentosa,Marketing,"IDR 1,000,000-3,000,000 / month",FULL_TIME,glints
933,Jawa,DKI Jakarta,Jakarta,Sales Manager,"B2b Business Strategies, B2b Sales, Sales Marketing, B2b Selling Experience",tidak dicantumkan,Aneka Digital Suksesindo,Business Development / Sales,"IDR 5,000,000-20,000,000 / project",FULL_TIME,glints
934,Jawa,DKI Jakarta,Jakarta,General Affair,"Legal Documents, Building Facilities, Asset Management, Building Maintenance, Fast Respone, Legal Assistance, Facilities Management",d3,PT. Klik Logistics Putera Harmas,Operations,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
935,Jawa,DKI Jakarta,Jakarta,Sales,"Wireless Networking, Engineering, network troubleshooting, Computer Networking, Presentation Skills, Electrical Engineering, Good Presentation Skill, Able To Work Under Pressure","d3, s1",Pt. Integra Mitra Solusi,Engineering,"IDR 4,500,000-0 / year",FULL_TIME,glints
936,Jawa,DKI Jakarta,Jakarta,Digital Marketing,"Interpersonal Skills, Enthusiasm In Technology, Creativity Skills, Energetic, Good Communication Skills","d3, s1",CV Pemindo Multi Sukses,Media & Communications,Perusahaan tidak menampilkan gaji,INTERNSHIP,glints
937,Jawa,DKI Jakarta,Jakarta,Business Operation And Development,"Microsoft Powerpoint, Customer Service, Marketing Communications, Event Production, Marketing, It Product Management, Marketing Management, Business Operations, New Business Development, Customer Relations, Business Process, Social Media Marketing, Digital Marketing, Problem Solving, Teamwork, Microsoft Excel, Customer Satisfaction, Customer Support, Market Research, Customer Engagement, Customer Follow-up, Product Marketing, Social Media, WordPress, Accounting, Analytical Skills, Business Development, Project Management, Business Marketing, Customer Acquisition, Product Development, Microsoft Word, Communication, Business Analyst, Business Communication, Product Knowledge, Customer Experience, Microsoft Office, Film Production, Adobe Premiere, Marketing Strategy, Business Intelligence, Good Communication Skills, Marketing Campaign, Video Production, Production Planning, Business Planning, Presentation Skills, Business Strategy, Administration, Customer Retention",tidak dicantumkan,PT. Bintang Jaya Unggul Sentosa,Business Development / Sales,"IDR 0-1,200,000 / project",INTERNSHIP,glints
938,Jawa,DKI Jakarta,Jakarta,Tutor,"A Level, Basic Mandarin, Fluent In Spoken Mandarin, Mandarin, Language Teaching, Igcse, Mandarin Chinese, Mandarin translation, Cambridge Curriculum, Online teacher, Communication, Teaching, Fluent In English Both Oral And Written, Good Communication Skills, Conversational Mandarin",s1,PT. Bintang Jaya Unggul Sentosa,Education,"IDR 1,000,000-4,000,000 / month",PROJECT_BASED,glints
939,Jawa,DKI Jakarta,Jakarta,Marketing Specialist,"Social Media Marketing, Digital Marketing, Negotiation Skill",tidak dicantumkan,Ruangguru,Marketing,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
940,Jawa,DKI Jakarta,Jakarta,Backend Developer,"Python, Amazon Web Services (AWS), Cloud Computing, Restful Api, Golang, Google Cloud Platform, English, Meticulous",tidak dicantumkan,Finantier,Engineering,"USD 12,000-20,000 / year",FULL_TIME,glints
941,Jawa,DKI Jakarta,Jakarta,Sales Executive,"Direct Sales, Salesforce, Sales Operations, Sales, People Development, Training and people development, People Skills, People-oriented, Enjoy meeting new people, Loves To Be Among People., Sociable And People Oriented",d3,PT.  Sinergi Cipta Ananta,Business Development / Sales,"IDR 2,000,000-12,000,000 / month",FULL_TIME,glints
942,Jawa,DI Yogyakarta,Yogyakarta,Backend Developer,"JavaScript, MySQL, Ruby, Phyton, PHP, Restful Api, Elixir, Golang",tidak dicantumkan,Qiscus Pte Ltd,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
943,Jawa,Jawa Timur,Surabaya,Application Designer,"Digital Illustration, Ui/ux Design, Web Design, Design Thinking",tidak dicantumkan,Simpul Technologies,Design,"IDR 4,500,000-8,000,000 / month",FULL_TIME,glints
944,Jawa,DKI Jakarta,Jakarta,Graphic Designer,"Smart And Fast Learner, Good Communication, Self-diciplined, Proactive, Graphic Design, High Self Motivated, Marketing Communications, Social Media Management, Team Management",tidak dicantumkan,PT Inti Kreatif Informatika,Design,Perusahaan tidak menampilkan gaji,INTERNSHIP,glints
945,Jawa,DI Yogyakarta,Yogyakarta,Account Executive,"Communication, Company Branding, Good In Selling Skill, Partnerships",tidak dicantumkan,Widya Skilloka,Business Development / Sales,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
946,Jawa,Jawa Tengah,Semarang,Fullstack Developer,"Node.js, MySQL, Vue.js, Bootstrap, PHP, Laravel Framework, Good Communication Skills",s1,Iksa Media Indonesia,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
947,Jawa,DKI Jakarta,Jakarta,Mobile Developer,"iOS Development, Mobile Applications, Software Engineering",tidak dicantumkan,Ruangguru,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
948,Jawa,DI Yogyakarta,Yogyakarta,Project Manager,"It Project Management, Agile Project Management, Scrum",tidak dicantumkan,Qiscus Pte Ltd,Other,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
949,Sumatera,Kepulauan Riau,Batam,Quality Assurance,"Air Cargo Clearance, QA Engineering, English, Microsoft Office, QA Automation, Qa Testing, Logistics",d3,Cargo Community Network (CCN) ,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
950,Jawa,DKI Jakarta,Jakarta,Fullstack Developer,"MySQL, Django, Python, Docker, PHP, Microservices, Git, Financial Accounting, Amazon Web Services (AWS)",s1,Bridge Note Indonesia,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
951,Jawa,DI Yogyakarta,Yogyakarta,Quality Assurance,"Katalon, Selenium, Testing Methodologies, Software Testing, Manual Testing, Postman, Software Development, Qa Testing, Automation Testing, JIRA, Zeplin, Software Testing Management, Asana",tidak dicantumkan,Refactory.id,Software Engineering,"IDR 3,000,000-4,500,000 / month",FULL_TIME,glints
952,Jawa,DKI Jakarta,Jakarta,Lead 2D Game Artist,"Visual Design, Adobe Illustrator, Adobe Photoshop",tidak dicantumkan,I CAN DO,Design,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
953,Jawa,DKI Jakarta,Jakarta,Unity Developer,"Game Programming, Unity3D, C#",tidak dicantumkan,I CAN DO,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
954,Jawa,DKI Jakarta,Jakarta,Java Developer,"Unit Testing, Redis Cache, MySQL, SDLC, PostgreSQL, Spring Boot, Agile Methodologies, Microservices, MongoDB, Solid Principles, Message Broker, Kafka",tidak dicantumkan,PT Code Development Indonesia,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
955,Jawa,DKI Jakarta,Jakarta,Fullstack Developer,"MVC, Object-Oriented Programming (OOP), JavaScript, MySQL, Bundler, Postgres, Html5, Css3, Rest Api, AngularJS, Bower, Ruby on Rails, Git, Computer Science",tidak dicantumkan,Cialfo Pte. Ltd.,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
956,Jawa,DKI Jakarta,Jakarta,Content Creator,"Photo & Video Editing, Content Creation, Videography, Video Production, Youtube Content Creator, Talent Hunt",s1,PT Jakarta Notebook,Media & Communications,"IDR 4,000,000-6,000,000 / month",FULL_TIME,glints
957,Jawa,DKI Jakarta,Jakarta,Fullstack Developer,"JavaScript, MySQL, Java, Kafka, Phyton, apache kafka, Java Programming",tidak dicantumkan,Brainworx Solusi Integrasi,Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
958,Jawa,DKI Jakarta,Jakarta,Content Creator,"Creative Concept, Creative Strategy, Creative Direction",s1,PT Jakarta Notebook,Marketing,"IDR 4,000,000-6,000,000 / month",FULL_TIME,glints
959,Jawa,DKI Jakarta,Jakarta,Staff Administrasi,"Good Comunication Skill, Good Attitude, Microsoft Office, Administration",smk,Pt. Surya Bumi Permata,Administrative,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
960,Jawa,DKI Jakarta,Jakarta,Social Media Strategist,"Social Media Marketing, Photo & Video Editing, Social Media Analytics, Social Media, Social Media Management, Brand Marketing, Detailed Oriented, Graphic Design, Brand Awareness, Good Attitude, Adobe Photoshop, English, Handle Social Media, Photography",tidak dicantumkan,SF Consulting,Design,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
961,Jawa,DKI Jakarta,Jakarta,Marketing Manager,"Marketing Communications, Digital Marketing, Digital Advertising, E-commerce, Good Communication Skills",s1,GOOROO,Marketing,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
962,Jawa,DKI Jakarta,Jakarta,Copywriter,"Proofread Content, Proofreading, Creative Concept, Copy Editing, Creative Writing, Copywriting, Creative Strategy, Seo Content Writing",tidak dicantumkan,Magnus Digital Indonesia,Marketing,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
963,Jawa,DKI Jakarta,Jakarta,Digital Marketing,"Marketing, Digital Marketing, Digital Strategy",s1,GOOROO,Marketing,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
964,Jawa,DKI Jakarta,Jakarta,Data Engineer,"MySQL, Pyspark, Apache Spark, Hive, Scala",tidak dicantumkan,Brainworx Solusi Integrasi,Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
965,Jawa,DKI Jakarta,Jakarta,Frontend Developer,"Google Tag Manager, JavaScript, jQuery, HTML, CSS, Facebook Pixel, Sql Query, Php Laravel",s1,Magnus Digital Indonesia,Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
966,Jawa,DKI Jakarta,Jakarta,Fullstack Developer,"Node.js, ReactJS, Azure, English, Vue.js, Typescript, Websockets, Devops, Amazon Web Services (AWS)",tidak dicantumkan,KeyReply,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
967,Jawa,DKI Jakarta,Jakarta,Backend Developer,"Python, Amazon Web Services (AWS), C++, Golang, Google Cloud Platform",s1,FinAccel,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
968,Jawa,DKI Jakarta,Jakarta,Financial Accounting Specialist,"Bookkeeping, Payment Gateaway, Account Reconciliation, English",tidak dicantumkan,Ibunda.id,Finance,"IDR 2,000,000-2,500,000 / month",FULL_TIME,glints
969,Jawa,DKI Jakarta,Jakarta,Sales Manager,"Marketing Communications, Microsoft Excel, Deal Closer, Sales Operations, CRM, Sales, Convincing people, Sales Presentations, B2b Sales, Good Communication Skills",s1,Wisatabook,Business Development / Sales,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
970,Jawa,DKI Jakarta,Jakarta,Purchasing Staff,"Numeracy Skills, Negotiation Skill, Communication Skills, Conscientious",s1,PT Jakarta Notebook,Other,"IDR 4,000,000-5,000,000 / month",FULL_TIME,glints
971,Jawa,Jawa Barat,Bekasi,Programmer,"Java Script, PostgreSQL, Php Codeigniter, Laravel, Oracle Applications, Database Mysql",tidak dicantumkan,PT Fan Integrasi Teknologi,Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
