id_loker,provinsi,jumlah_loker
720,Daerah Khusus Ibukota Jakarta,5985
721,Daerah Khusus Ibukota Jakarta,5985
722,Jawa Timur,1296
723,Daerah Khusus Ibukota Jakarta,5985
724,Daerah Khusus Ibukota Jakarta,5985
725,Daerah Khusus Ibukota Jakarta,5985
726,Daerah Khusus Ibukota Jakarta,5985
727,Jawa Timur,1296
728,Daerah Khusus Ibukota Jakarta,5985
729,Sumatera Utara,225
730,Daerah Khusus Ibukota Jakarta,5985
731,Banten,1219
732,Daerah Khusus Ibukota Jakarta,5985
733,Sumatera Utara,225
734,Daerah Khusus Ibukota Jakarta,5985
735,Jawa Timur,1296
736,Jawa Barat,1771
737,Daerah Khusus Ibukota Jakarta,5985
738,Daerah Khusus Ibukota Jakarta,5985
739,Daerah Khusus Ibukota Jakarta,5985
740,Daerah Khusus Ibukota Jakarta,5985
741,Banten,1219
742,Daerah Khusus Ibukota Jakarta,5985
743,Daerah Khusus Ibukota Jakarta,5985
744,Jawa Barat,1771
745,Nusa Tenggara Timur,18
746,Banten,1219
747,Daerah Khusus Ibukota Jakarta,5985
748,Banten,1219
749,Jawa Timur,1296
750,Daerah Istimewa Yogyakarta,216
751,Banten,1219
752,Daerah Khusus Ibukota Jakarta,5985
753,Jawa Barat,1771
754,Banten,1219
755,Banten,1219
756,Daerah Khusus Ibukota Jakarta,5985
757,Banten,1219
758,Daerah Khusus Ibukota Jakarta,5985
759,Banten,1219
760,Banten,1219
761,Daerah Khusus Ibukota Jakarta,5985
762,Jawa Timur,1296
763,Daerah Khusus Ibukota Jakarta,5985
764,Daerah Khusus Ibukota Jakarta,5985
765,Jawa Barat,1771
766,Daerah Khusus Ibukota Jakarta,5985
767,Jawa Tengah,548
768,Kalimantan Utara,22
769,Kalimantan Selatan,72
770,Sulawesi Tengah,40
771,Daerah Khusus Ibukota Jakarta,5985
772,Sumatera Utara,225
773,Daerah Khusus Ibukota Jakarta,5985
774,Daerah Khusus Ibukota Jakarta,5985
775,Daerah Khusus Ibukota Jakarta,5985
776,Jawa Barat,1771
777,Jawa Barat,1771
778,Banten,1219
779,Daerah Khusus Ibukota Jakarta,5985
780,Daerah Khusus Ibukota Jakarta,5985
781,Sulawesi Utara,42
782,Sulawesi Selatan,121
783,Jawa Timur,1296
