id_loker,provinsi,pendidikan
125,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
126,Jawa Timur,D3
127,Daerah Khusus Ibukota Jakarta,S1
128,Daerah Khusus Ibukota Jakarta,D3
129,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
130,Daerah Khusus Ibukota Jakarta,PROFESI
130,Daerah Khusus Ibukota Jakarta,S2
131,Daerah Khusus Ibukota Jakarta,S1
131,Daerah Khusus Ibukota Jakarta,PROFESI
132,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
133,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
134,Daerah Khusus Ibukota Jakarta,D3
135,Jawa Tengah,S1
136,Sulawesi Selatan,TIDAK DICANTUMKAN
137,Banten,S1
138,Daerah Khusus Ibukota Jakarta,D3
138,Daerah Khusus Ibukota Jakarta,S1
138,Daerah Khusus Ibukota Jakarta,S2
138,Daerah Khusus Ibukota Jakarta,S3
139,Sulawesi Tenggara,D3
139,Sulawesi Tenggara,S1
140,Daerah Khusus Ibukota Jakarta,S1
141,Daerah Khusus Ibukota Jakarta,S1
142,Daerah Khusus Ibukota Jakarta,D3
143,Daerah Khusus Ibukota Jakarta,S1
144,Jawa Barat,S1
144,Jawa Barat,S2
145,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
146,Daerah Khusus Ibukota Jakarta,S1
147,Lampung,D3
147,Lampung,S1
147,Lampung,SMA
148,Papua,S1
149,Jawa Tengah,TIDAK DICANTUMKAN
150,Daerah Khusus Ibukota Jakarta,D3
150,Daerah Khusus Ibukota Jakarta,S1
151,Kalimantan Utara,D3
151,Kalimantan Utara,S1
152,Daerah Khusus Ibukota Jakarta,S1
153,Daerah Khusus Ibukota Jakarta,S1
154,Daerah Khusus Ibukota Jakarta,S1
155,Lampung,S1
156,Daerah Khusus Ibukota Jakarta,S1
157,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
158,Daerah Khusus Ibukota Jakarta,S1
159,Sumatera Utara,PROFESI
160,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
161,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
162,Daerah Khusus Ibukota Jakarta,S1
163,Jawa Tengah,S1
164,Daerah Khusus Ibukota Jakarta,D3
164,Daerah Khusus Ibukota Jakarta,S1
164,Daerah Khusus Ibukota Jakarta,S2
164,Daerah Khusus Ibukota Jakarta,S3
165,Daerah Khusus Ibukota Jakarta,S1
166,Banten,S1
167,Daerah Khusus Ibukota Jakarta,PROFESI
168,Daerah Khusus Ibukota Jakarta,PROFESI
168,Daerah Khusus Ibukota Jakarta,S1
169,Jawa Timur,D3
169,Jawa Timur,S1
170,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
171,Banten,S1
171,Banten,PROFESI
172,Sulawesi Utara,TIDAK DICANTUMKAN
173,Sulawesi Utara,TIDAK DICANTUMKAN
174,Maluku Utara,D3
175,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
176,Jawa Timur,S1
176,Jawa Timur,D3
176,Jawa Timur,PROFESI
176,Jawa Timur,S3
177,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
178,Jawa Timur,S1
179,Jawa Timur,S1
180,Daerah Khusus Ibukota Jakarta,SMA
181,Sulawesi Tengah,D3
181,Sulawesi Tengah,S1
182,Daerah Khusus Ibukota Jakarta,S1
183,Daerah Khusus Ibukota Jakarta,S1
184,Jawa Timur,S1
185,Daerah Khusus Ibukota Jakarta,D3
185,Daerah Khusus Ibukota Jakarta,S1
186,Bali,S1
187,Sulawesi Utara,PROFESI
188,Sulawesi Selatan,D3
189,Sumatera Utara,S1
190,Daerah Khusus Ibukota Jakarta,S1
191,Daerah Khusus Ibukota Jakarta,S1
192,Daerah Khusus Ibukota Jakarta,D3
192,Daerah Khusus Ibukota Jakarta,S1
193,Riau,S1
194,Jawa Timur,TIDAK DICANTUMKAN
195,Daerah Khusus Ibukota Jakarta,S1
196,Daerah Khusus Ibukota Jakarta,S1
197,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
198,Daerah Khusus Ibukota Jakarta,S1
199,Banten,TIDAK DICANTUMKAN
200,Daerah Khusus Ibukota Jakarta,S2
200,Daerah Khusus Ibukota Jakarta,S1
201,Daerah Khusus Ibukota Jakarta,S1
202,Kepulauan Riau,TIDAK DICANTUMKAN
203,Jawa Timur,S1
204,Daerah Khusus Ibukota Jakarta,S1
205,Jawa Timur,D3
206,Daerah Khusus Ibukota Jakarta,S1
207,Jawa Timur,D3
208,Daerah Khusus Ibukota Jakarta,S1
208,Daerah Khusus Ibukota Jakarta,S2
209,Daerah Khusus Ibukota Jakarta,S1
210,Jawa Timur,S1
211,Daerah Khusus Ibukota Jakarta,D3
211,Daerah Khusus Ibukota Jakarta,S1
212,Banten,S1
213,Jawa Timur,S1
214,Jawa Barat,D3
214,Jawa Barat,S1
215,Daerah Khusus Ibukota Jakarta,S1
216,Banten,S1
217,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
218,Sumatera Utara,D3
219,Daerah Khusus Ibukota Jakarta,S1
220,Jawa Timur,TIDAK DICANTUMKAN
221,Banten,D3
221,Banten,S1
222,Daerah Khusus Ibukota Jakarta,S1
223,Jawa Timur,S1
224,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
225,Daerah Khusus Ibukota Jakarta,D3
