id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan,jumlah_loker_per_provinsi
6044,Jawa,Jawa Timur,Senior Sales Distribusi Dan Project,PT Arga Bangun Ideal,5,5 - 9 tahun,14,Konstruksi/Bangunan/Teknik,51 - 200 pekerja,sabtu,bisnis,kemeja,umum,"Indonesia, Inggris",jobstreet,TIDAK DICANTUMKAN,1296
6045,Jawa,Jawa Timur,Engineering Manager,PT Winaros Kawula Bahari,10,10 - 14 tahun,5,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,1296
6046,Jawa,Jawa Timur,Ppic Staff,PT Campina Ice Cream Industry Tbk,1,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,1- 50 pekerja,senin - jumat,seragam,seragam kantor/lapangan,umum,Indonesia,jobstreet,"S1, S2",1296
6047,Jawa,Daerah Khusus Ibukota Jakarta,Kepala Shift Ppic Balaraja,Orang Tua Group,1,0 - 4 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",Indonesia,jobstreet,D3,5985
6048,Jawa,Daerah Khusus Ibukota Jakarta,Recruitment Operations Manager,ATI Business Group (Recruitment Firm),3,0 - 4 tahun,14,Manajemen/Konsulting HR,1001 - 2000 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,TIDAK DICANTUMKAN,5985
6049,Jawa,Jawa Barat,Welder Technician,PT. Cirebon Power Services,3,0 - 4 tahun,14,Layanan Umum/Tenaga Penggerak,51 - 200 pekerja,senin - jumat,seragam,seragam kantor/lapangan,"kesehatan, pendidikan","Indonesia, Inggris",jobstreet,D3,1771
6050,Jawa,Daerah Khusus Ibukota Jakarta,Sales Industry,PT Tirtajaya Lumasindo,2,0 - 4 tahun,14,Minyak/Gas/Petroleum,1- 50 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,"SMA, D3, S1",5985
6051,Jawa,Daerah Khusus Ibukota Jakarta,Finance Accounting Staff,PT One Family Indonesia,2,0 - 4 tahun,14,Perawatan/Kecantikan/Fitnes,51 - 200 pekerja,senin - sabtu,kasual,kaos,kesehatan,Inggris,jobstreet,S1,5985
6052,Jawa,Daerah Khusus Ibukota Jakarta,Web Developer,PT Toko Modal Mitra Usaha,4,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,1- 50 pekerja,senin - jumat,kasual,kaos,"kesehatan, makan",Indonesia,jobstreet,S1,5985
6053,Nusa Tenggara,Bali,Director Of Human Resource,PT Karang Mas Sejahtera,3,0 - 4 tahun,14,Properti/Real Estate,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, bonus",Indonesia,jobstreet,S1,214
6054,Jawa,Jawa Timur,Maintenance Executive,PT Kelly Services Indonesia (Recruitment Firm),3,0 - 4 tahun,14,Manajemen/Konsulting HR,1001 - 2000 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,"D3, S1",1296
6055,Jawa,Daerah Khusus Ibukota Jakarta,Programmer,PT. K-LINK INDONESIA,3,0 - 4 tahun,5,Kesehatan/Medis,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum","Inggris, Indonesia",jobstreet,TIDAK DICANTUMKAN,5985
6056,Jawa,Daerah Khusus Ibukota Jakarta,Technical Support Engineer,PT Tirtajaya Lumasindo,2,0 - 4 tahun,14,Minyak/Gas/Petroleum,1- 50 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,5985
6057,Jawa,Jawa Timur,Internal Audit,PT Salam Pacific Indonesia Lines,1,0 - 4 tahun,14,Transportasi/Logistik,2001 - 5000 pekerja,senin - sabtu,bisnis,kemeja,kesehatan,Indonesia,jobstreet,"S1, S2, S3",1296
6058,Jawa,Daerah Khusus Ibukota Jakarta,Sales Farma,PT Setia Kawan Abadi,1,0 - 4 tahun,14,Umum & Grosir,51 - 200 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,5985
6059,Jawa,Jawa Barat,Maintenance Technician,PT Indolakto - Indofood CBP (INDOMILK),2,0 - 4 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,2001 - 5000 pekerja,shift,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,D3,1771
6060,Jawa,Daerah Khusus Ibukota Jakarta,Sales Engineer,PT Nutech Integrasi,3,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, pendidikan, bpjs kesehatan",Indonesia,jobstreet,S1,5985
6061,Jawa,Daerah Khusus Ibukota Jakarta,Executive Assistant,Universal Music Group,3,0 - 4 tahun,14,Hiburan/Media,lebih dari 5000 pekerja,senin - jumat,kasual,kaos,kesehatan,Inggris,jobstreet,TIDAK DICANTUMKAN,5985
6062,Kalimantan,Kalimantan Timur,Manager External Relation Dan Community Development,Perusahaan Dirahasiakan,5,5 - 9 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,S1,159
6063,Jawa,Daerah Khusus Ibukota Jakarta,Network Engineer,PT Mastersystem Infotama,1,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),201 - 500 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum, pendidikan, kacamata",Indonesia,jobstreet,S1,5985
6064,Jawa,Jawa Barat,Purchasing Manager,PT APM Hyundai Transys Indonesia,10,10 - 14 tahun,14,Manufaktur/Produksi,51 - 200 pekerja,senin - jumat,tidak spesifik,tidak spesifik,kesehatan,Inggris,jobstreet,TIDAK DICANTUMKAN,1771
6065,Nusa Tenggara,Bali,"Admin Executive, Marketing Designer",PT. Bali Properti Konstruksi,1,0 - 4 tahun,3,Properti/Real Estate,1- 50 pekerja,senin - sabtu,kasual,kaos,"kesehatan, bpjs kesehatan",Indonesia,jobstreet,S1,214
6066,Jawa,Daerah Khusus Ibukota Jakarta,Supervisor Recruitment Ad Assesment,PT. LUNA BOGA NARAYAN,3,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,201 - 500 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,"S2, S3",5985
6067,Jawa,Jawa Barat,It Manager,PT APM Hyundai Transys Indonesia,6,5 - 9 tahun,14,Manufaktur/Produksi,51 - 200 pekerja,senin - jumat,tidak spesifik,tidak spesifik,kesehatan,Inggris,jobstreet,TIDAK DICANTUMKAN,1771
6068,Jawa,Banten,Marketing Executive,PT Care Spunbond,2,0 - 4 tahun,5,Polymer/Plastik/Karet/Ban,501 - 1000 pekerja,sabtu,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,1219
6069,Jawa,Daerah Khusus Ibukota Jakarta,Account Payable Staff,PT ABC KOGEN DAIRY,2,0 - 4 tahun,14,Manufaktur/Produksi,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"makan, asuransi, transportasi",Indonesia,jobstreet,"S1, PROFESI",5985
6070,Jawa,Daerah Khusus Ibukota Jakarta,Personal Assistant,PT Arwana Citramulia Tbk,1,0 - 4 tahun,14,Manufaktur/Produksi,2001 - 5000 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum, makan",Indonesia,jobstreet,PROFESI,5985
6071,Jawa,Daerah Khusus Ibukota Jakarta,Sales Educator,PT Haldin Pacific Semesta,1,0 - 4 tahun,14,Manufaktur/Produksi,201 - 500 pekerja,senin - jumat,"bisnis, kasual","kemeja, kaos","kesehatan, umum, pendidikan",Indonesia,jobstreet,"SMA, D3",5985
6072,Jawa,Banten,Maintenance / Teknisi,PT Care Spunbond,1,0 - 4 tahun,5,Polymer/Plastik/Karet/Ban,501 - 1000 pekerja,sabtu,bisnis,kemeja,kesehatan,Indonesia,jobstreet,TIDAK DICANTUMKAN,1219
6073,Jawa,Daerah Khusus Ibukota Jakarta,Account Manager,PT Pro Sistimatika Automasi,5,5 - 9 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,5985
6074,Jawa,Daerah Khusus Ibukota Jakarta,Recruitment Specialist,PT KPN Corp.,3,0 - 4 tahun,14,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, kacamata",Indonesia,jobstreet,S2,5985
6075,Jawa,Daerah Khusus Ibukota Jakarta,Staff Procurement Import,PT Arwana Citramulia Tbk,1,0 - 4 tahun,14,Manufaktur/Produksi,2001 - 5000 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum, makan",Indonesia,jobstreet,S1,5985
6076,Jawa,Daerah Khusus Ibukota Jakarta,System Planning,J-Express (PT Jaya Ekspress Transindo),2,0 - 4 tahun,14,Transportasi/Logistik,2001 - 5000 pekerja,senin - jumat,kasual,kaos,"kesehatan, bpjs kesehatan",Indonesia,jobstreet,S1,5985
6077,Jawa,Daerah Khusus Ibukota Jakarta,Staff Payroll,PT.DOMO MANAGEMENT GROUP,2,0 - 4 tahun,14,Automobil/Mesin Tambahan Automotif/Kendaraan,501 - 1000 pekerja,tidak spesifik,kasual,kaos,"perumahan, transportasi",Indonesia,jobstreet,S1,5985
6078,Jawa,Jawa Barat,Administrasi Back Office,PT Toko Mesin Maksindo,1,0 - 4 tahun,14,Retail/Merchandise,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,umum,Indonesia,jobstreet,TIDAK DICANTUMKAN,1771
6079,Jawa,Daerah Khusus Ibukota Jakarta,Field Sales,PT Eden Pangan Indonesia,1,0 - 4 tahun,5,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,51 - 200 pekerja,senin - jumat,kasual,kaos,flexible benefits,Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6080,Jawa,Banten,Tax Supervisor,PT Softex Indonesia,3,0 - 4 tahun,14,Manufaktur/Produksi,1001 - 2000 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, kacamata, tidak tersedia",Indonesia,jobstreet,S1,1219
6081,Jawa,Jawa Timur,Marketing Coordinator,PT VIC Indonesia,3,0 - 4 tahun,13,Pendidikan,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum","Indonesia, Inggris",jobstreet,"S1, S2, S3",1296
6082,Jawa,Daerah Khusus Ibukota Jakarta,Staff Admin Sales,PT Aquatech Indonesia,1,0 - 4 tahun,13,Industri Berat/Mesin/Peralatan,1- 50 pekerja,senin - sabtu,bisnis,kemeja,kesehatan,Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6083,Jawa,Daerah Khusus Ibukota Jakarta,Kol Management And Advertising Staff,PT Natura Deca Sejahtera,1,0 - 4 tahun,14,Umum & Grosir,1- 50 pekerja,senin - jumat,kasual,kaos,"kesehatan, thr",Indonesia,jobstreet,D3,5985
6084,Jawa,Jawa Barat,Mechanical Maintenance Technician,PT. Cirebon Power Services,3,0 - 4 tahun,14,Layanan Umum/Tenaga Penggerak,51 - 200 pekerja,senin - jumat,seragam,seragam kantor/lapangan,"kesehatan, pendidikan","Indonesia, Inggris",jobstreet,D3,1771
6085,Jawa,Daerah Khusus Ibukota Jakarta,Telemarketing Telesales,PT Aquatech Indonesia,0,0 - 4 tahun,13,Industri Berat/Mesin/Peralatan,1- 50 pekerja,senin - sabtu,bisnis,kemeja,kesehatan,Indonesia,jobstreet,D3,5985
6086,Nusa Tenggara,Bali,Project Manager,PT. Balindo Mitra Perkasa,5,5 - 9 tahun,14,Manufaktur/Produksi,1- 50 pekerja,senin - jumat,bisnis,kemeja,tidak tersedia,Inggris,jobstreet,S1,214
6087,Jawa,Daerah Khusus Ibukota Jakarta,Programmer,PT. AGUS TEKNOLOGI INDONESIA,2,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,kasual,kaos,umum,Inggris,jobstreet,TIDAK DICANTUMKAN,5985
6088,Sumatera,Riau,Safety Officer,PT Pulau Sambu (Guntung),2,0 - 4 tahun,1,Manufaktur/Produksi,lebih dari 5000 pekerja,tidak spesifik,kasual,kaos,"kesehatan, umum",Tidak Dicantumkan,jobstreet,S1,86
6089,Jawa,Daerah Khusus Ibukota Jakarta,Admin Penjualan Online,PT Segar Baru Abadi,2,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6090,Jawa,Daerah Khusus Ibukota Jakarta,Social Media Officer,J-Express (PT Jaya Ekspress Transindo),0,0 - 4 tahun,14,Transportasi/Logistik,2001 - 5000 pekerja,senin - jumat,kasual,kaos,"kesehatan, bpjs kesehatan",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6091,Jawa,Daerah Khusus Ibukota Jakarta,Asisten Manajer Penjualan,PT Segar Baru Abadi,3,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6092,Jawa,Daerah Khusus Ibukota Jakarta,Sales & Marketing,Jimac Group,2,0 - 4 tahun,14,Industri Berat/Mesin/Peralatan,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata, bpjs kesehatan",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6093,Sulawesi,Sulawesi Tenggara,Finance & Accounting Assistant Manager,PT CARSURIN,5,5 - 9 tahun,14,Minyak/Gas/Petroleum,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,tidak tersedia,Tidak Dicantumkan,jobstreet,S1,20
6094,Sumatera,Kepulauan Riau,Sales Executive,Keppel Land,0,0 - 4 tahun,14,Properti/Real Estate,51 - 200 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum, kacamata",Inggris,jobstreet,D3,126
6095,Jawa,Daerah Khusus Ibukota Jakarta,College Counselor,North Jakarta Intercultural School,5,5 - 9 tahun,14,Pendidikan,51 - 200 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",Inggris,jobstreet,S2,5985
6096,Jawa,Daerah Khusus Ibukota Jakarta,Staff Aktuaria,PT Asuransi Reliance Indonesia (Jakarta),0,0 - 4 tahun,14,Asuransi,201 - 500 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",Indonesia,jobstreet,S1,5985
6097,Jawa,Jawa Timur,Supervisor Sparepart 2W,PT Star Sparta Indonesia,1,0 - 4 tahun,14,Automobil/Mesin Tambahan Automotif/Kendaraan,51 - 200 pekerja,senin - jumat,bisnis,kemeja,umum,Indonesia,jobstreet,"SMA, S1",1296
6098,Jawa,Daerah Khusus Ibukota Jakarta,Desk Collections,PT Smartec Teknologi Indonesia,2,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,1- 50 pekerja,sabtu,kasual,kaos,bpjs kesehatan,"Inggris, Indonesia, Inggris",jobstreet,"PROFESI, D3",5985
6099,Sumatera,Sumatera Selatan,Medical Representative,"Kalbe Vision (part of PT. Kalbe Farma, Tbk)",3,0 - 4 tahun,7,Kesehatan/Medis,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, makan, transport",Indonesia,jobstreet,"D3, S1",120
6100,Jawa,Daerah Khusus Ibukota Jakarta,Data Analyst,J-Express (PT Jaya Ekspress Transindo),2,0 - 4 tahun,14,Transportasi/Logistik,2001 - 5000 pekerja,senin - jumat,kasual,kaos,"kesehatan, bpjs kesehatan",Indonesia,jobstreet,S1,5985
6101,Jawa,Daerah Khusus Ibukota Jakarta,Operations Admin Staff,PT Five Jack,1,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200 pekerja,senin - jumat,kasual,kaos,"umum, makan, komunikasi",Inggris,jobstreet,S1,5985
6102,Jawa,Daerah Khusus Ibukota Jakarta,Desk Collections Team Leader,PT Smartec Teknologi Indonesia,2,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,1- 50 pekerja,sabtu,kasual,kaos,bpjs kesehatan,"Inggris, Indonesia, Inggris",jobstreet,D3,5985
6103,Jawa,Daerah Khusus Ibukota Jakarta,Recruitment Officer,PT Indolakto - Indofood CBP (INDOMILK),3,0 - 4 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,2001 - 5000 pekerja,shift,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,"S1, S2, S3",5985
6104,Jawa,Jawa Timur,Concrete Batako Paving Sales,PT Pabrik Kertas Indonesia,2,0 - 4 tahun,11,Kayu/Fiber/Kertas,2001 - 5000 pekerja,tidak spesifik,bisnis,kemeja,umum,Indonesia,jobstreet,S1,1296
6105,Jawa,Daerah Khusus Ibukota Jakarta,Rice Sales Staff,PT Sumber Energi Pangan,2,0 - 4 tahun,14,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6106,Jawa,Daerah Khusus Ibukota Jakarta,Graphic Designer,PT Panca Citra Makmur,2,0 - 4 tahun,14,Umum & Grosir,tidak spesifik,senin - jumat,formal,kemeja polos & dasi,tidak tersedia,Indonesia,jobstreet,"D3, S1",5985
6107,Jawa,Daerah Khusus Ibukota Jakarta,Sales Representatif Frozen Food,CV. Sakana IndoPrima,3,0 - 4 tahun,7,Makanan & Minuman/Katering/Restoran,51 - 200 pekerja,tidak tersedia,bisnis,kemeja,umum,Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6108,Jawa,Daerah Khusus Ibukota Jakarta,Business Development Staf,PT Segar Baru Abadi,2,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,5985
6109,Jawa,Jawa Tengah,Admin Sales,PT Segar Baru Abadi,2,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,D3,548
6110,Jawa,Daerah Khusus Ibukota Jakarta,Accounting & General Admin,PT Berkat Jaya Damai,3,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,1- 50 pekerja,senin - jumat,kasual,kaos,tidak tersedia,Indonesia,jobstreet,D3,5985
6111,Jawa,Jawa Barat,Electrical Technician,PT. Cirebon Power Services,3,0 - 4 tahun,14,Layanan Umum/Tenaga Penggerak,51 - 200 pekerja,senin - jumat,seragam,seragam kantor/lapangan,"kesehatan, pendidikan","Indonesia, Inggris",jobstreet,"D3, S1",1771
6112,Jawa,Banten,Sales Engineer,PT Syspex Kemasindo,4,0 - 4 tahun,14,Umum & Grosir,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"S1, S2, S3",1219
6113,Jawa,Jawa Timur,Staf Akuntansi,PT. Aneka Gas Industri Tbk.,1,0 - 4 tahun,14,Minyak/Gas/Petroleum,2001 - 5000 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,1296
6114,Jawa,Daerah Khusus Ibukota Jakarta,It Sales And Marketing,PT Walk Brains Indonesia,1,0 - 4 tahun,tidak tersedia,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,5985
6115,Jawa,Jawa Barat,It Support,PT Dachin Etech Global,0,0 - 4 tahun,8,Retail/Merchandise,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"umum, makan","Indonesia, Inggris",jobstreet,"D3, S1",1771
6116,Jawa,Daerah Khusus Ibukota Jakarta,Business Intelligence Executive,PT. Amtrust Mobile Solutions Indonesia,1,0 - 4 tahun,14,Call Center/IT-Enabled Services/BPO,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum","Indonesia, Inggris",jobstreet,S1,5985
6117,Jawa,Jawa Timur,Meratus Professional Development Program,PT. Meratus Line & Group,1,0 - 4 tahun,14,Transportasi/Logistik,2001 - 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, pendidikan, kacamata",Indonesia,jobstreet,"PROFESI, S2, S3",1296
6118,Jawa,Daerah Khusus Ibukota Jakarta,Sales Marketing,PT Pelitamaju Multiswakarsa,1,0 - 4 tahun,14,Konstruksi/Bangunan/Teknik,201 - 500 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,"D3, S1",5985
6119,Jawa,Jawa Timur,Montir / Mekanik Truk,PT Tedmonnindo Pratamasemesta,2,0 - 4 tahun,3,Manufaktur/Produksi,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,D3,1296
6120,Jawa,Daerah Khusus Ibukota Jakarta,Sales Promotion,PT Bintang Hartono Jaya,2,0 - 4 tahun,14,Umum & Grosir,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata, lembur",Indonesia,jobstreet,SMA,5985
6121,Jawa,Daerah Khusus Ibukota Jakarta,Social Media Content Creator,PT. Prima Agro Tech,2,0 - 4 tahun,1,BioTeknologi/Farmasi/Riset klinik,51 - 200 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,D3,5985
6122,Jawa,Daerah Khusus Ibukota Jakarta,Outlet Crew,Belah Doeren,2,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,1- 50 pekerja,shift,kasual,kaos,tidak tersedia,Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6123,Jawa,Jawa Barat,Receptionist,Kop Sehati Makmur Abadi,0,0 - 4 tahun,2,Perbankan/Pelayanan Keuangan,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",Indonesia,jobstreet,D3,1771
6124,Jawa,Jawa Tengah,Ga Officer Central Area,SCG,2,0 - 4 tahun,14,Manufaktur/Produksi,2001 - 5000 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",Inggris,jobstreet,S1,548
6125,Jawa,Banten,Plant Assistant Manager,PT Multi Kencana Niagatama,5,5 - 9 tahun,12,Manufaktur/Produksi,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,TIDAK DICANTUMKAN,1219
6126,Jawa,Daerah Khusus Ibukota Jakarta,Accounting & Cost Control Coordinator,PT CARSURIN,4,0 - 4 tahun,14,Minyak/Gas/Petroleum,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,tidak tersedia,Tidak Dicantumkan,jobstreet,S1,5985
6127,Jawa,Jawa Barat,Logistic Manager,ADEV Natural Indonesia,3,0 - 4 tahun,14,Perawatan/Kecantikan/Fitnes,51 - 200 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,1771
6128,Jawa,Daerah Khusus Ibukota Jakarta,Accounting Supervisor,PT Esensi Imzadi Talenta,3,0 - 4 tahun,7,Konsultasi (Bisnis & Manajemen),1- 50 pekerja,senin - jumat,kasual,kaos,tidak tersedia,Indonesia,jobstreet,S1,5985
6129,Kalimantan,Kalimantan Tengah,Assistant Mill Maintenance,PT Agro Harapan Lestari,3,0 - 4 tahun,14,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, bonus",Inggris,jobstreet,S1,45
6130,Jawa,Daerah Khusus Ibukota Jakarta,Supervisor Accounting,PT Securindo Packatama Indonesia,2,0 - 4 tahun,11,Keamanan/Penegak hukum,lebih dari 5000 pekerja,senin - jumat,seragam,seragam kantor/lapangan,kesehatan,Indonesia,jobstreet,S1,5985
6131,Jawa,Jawa Timur,Mekanik,PT Mitra Pinasthika Mustika Rent (MPM Rent),2,0 - 4 tahun,14,Automobil/Mesin Tambahan Automotif/Kendaraan,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,SMK,1296
6132,Jawa,Daerah Khusus Ibukota Jakarta,Power Electronics Hardware Design Engineer,Vela Prima Nusantara,5,5 - 9 tahun,1,Umum & Grosir,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,"S2, S3",5985
6133,Jawa,Banten,Data Analyst,PT Tempindo Jasatama (Divisi Jakarta Temp) (Recruitment Firm),2,0 - 4 tahun,14,Manajemen/Konsulting HR,1- 50 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,"S1, S2",1219
6134,Sumatera,Sumatera Utara,Quality Manager,"PT Mark Dynamics Indonesia, Tbk",3,0 - 4 tahun,14,Manufaktur/Produksi,501 - 1000 pekerja,sabtu,kasual,kaos,bpjs kesehatan,Indonesia,jobstreet,S1,225
6135,Jawa,Daerah Khusus Ibukota Jakarta,Driver Mobil Box,PT Ekanuri,2,0 - 4 tahun,14,Transportasi/Logistik,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
6136,Jawa,Jawa Barat,Junior Tax Accounting Officer,Kop Sehati Makmur Abadi,1,0 - 4 tahun,2,Perbankan/Pelayanan Keuangan,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",Indonesia,jobstreet,S1,1771
6137,Jawa,Daerah Khusus Ibukota Jakarta,Creative Design,ACMIC Indonesia,1,0 - 4 tahun,1,Umum & Grosir,1- 50 pekerja,sabtu,kasual,kaos,umum,"Indonesia, Inggris",jobstreet,D3,5985
6138,Jawa,Jawa Barat,Mekanik,CV. CAHAYA KURNIA unit TWISTING,2,0 - 4 tahun,4,Tekstil/Garment,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,SMK,1771
6139,Jawa,Jawa Barat,Junior Officer Development Program,Kop Sehati Makmur Abadi,0,0 - 4 tahun,2,Perbankan/Pelayanan Keuangan,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",Indonesia,jobstreet,S1,1771
6140,Jawa,Jawa Timur,Leader Jawa Timur,PT Amartha Mikro Fintek (Jakarta),2,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,1001 - 2000 pekerja,senin - jumat,kasual,kaos,"kesehatan, pendidikan",Indonesia,jobstreet,D3,1296
6141,Jawa,Daerah Khusus Ibukota Jakarta,Lecturer In Management,Indonesia International Institute for Life Sciences,3,0 - 4 tahun,14,Pendidikan,51 - 200 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, pendidikan, umum",Inggris,jobstreet,TIDAK DICANTUMKAN,5985
6142,Jawa,Banten,Marketing,Cv. Blessing Promosindo,2,0 - 4 tahun,5,Tekstil/Garment,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Indonesia,jobstreet,D3,1219
