id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan,jumlah_loker_per_provinsi
34,Jawa,Jawa Tengah,Field Collection Kendal,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
35,Jawa,Jawa Tengah,Field Collection Ketanggungan,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
36,Jawa,Jawa Tengah,Field Collection Klaten,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
37,Jawa,Jawa Timur,Field Collection Probolinggo,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
38,Jawa,Jawa Tengah,Field Collection Kudus,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
39,Jawa,Jawa Timur,Field Collection Trenggalek,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
40,Jawa,Daerah Khusus Ibukota Jakarta,Mobile Developer,PT BCI Asia,3,0 - 4 tahun,4,Konstruksi/Bangunan/Teknik,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata, cuti, bpjs kesehatan","Indonesia, Inggris",jobstreet,TIDAK DICANTUMKAN,5985
41,Jawa,Jawa Timur,Field Collection Blitar,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
42,Jawa,Jawa Timur,Field Collection Jember,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
43,Jawa,Jawa Timur,Field Collection Kediri,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1",1296
