id_loker,provinsi,pendidikan
348,Kepulauan Riau,TIDAK DICANTUMKAN
349,DKI Jakarta,S1
350,DKI Jakarta,TIDAK DICANTUMKAN
351,DKI Jakarta,TIDAK DICANTUMKAN
352,DKI Jakarta,TIDAK DICANTUMKAN
353,Banten,TIDAK DICANTUMKAN
354,Kepulauan Riau,D3
355,DKI Jakarta,S1
356,DKI Jakarta,TIDAK DICANTUMKAN
357,DKI Jakarta,TIDAK DICANTUMKAN
358,DKI Jakarta,TIDAK DICANTUMKAN
359,Kepulauan Riau,S1
360,DKI Jakarta,S1
361,Kepulauan Riau,TIDAK DICANTUMKAN
362,DKI Jakarta,TIDAK DICANTUMKAN
363,DKI Jakarta,TIDAK DICANTUMKAN
364,DKI Jakarta,S1
365,Kepulauan Riau,TIDAK DICANTUMKAN
366,DKI Jakarta,S1
367,DKI Jakarta,TIDAK DICANTUMKAN
368,Kepulauan Riau,TIDAK DICANTUMKAN
369,Banten,TIDAK DICANTUMKAN
370,DKI Jakarta,TIDAK DICANTUMKAN
371,DKI Jakarta,D3
372,Kepulauan Riau,TIDAK DICANTUMKAN
373,Jawa Barat,S1
374,DKI Jakarta,S1
375,DKI Jakarta,TIDAK DICANTUMKAN
376,DKI Jakarta,TIDAK DICANTUMKAN
377,Jawa Tengah,TIDAK DICANTUMKAN
378,DKI Jakarta,TIDAK DICANTUMKAN
379,Kepulauan Riau,S1
380,Kepulauan Riau,TIDAK DICANTUMKAN
381,DKI Jakarta,TIDAK DICANTUMKAN
382,Jawa Timur,TIDAK DICANTUMKAN
383,DKI Jakarta,S1
383,DKI Jakarta,D3
384,DKI Jakarta,TIDAK DICANTUMKAN
385,Kepulauan Riau,TIDAK DICANTUMKAN
386,DKI Jakarta,TIDAK DICANTUMKAN
387,DKI Jakarta,S1
388,Jawa Timur,S1
389,DKI Jakarta,TIDAK DICANTUMKAN
390,DKI Jakarta,TIDAK DICANTUMKAN
391,DKI Jakarta,TIDAK DICANTUMKAN
392,DKI Jakarta,TIDAK DICANTUMKAN
393,DKI Jakarta,TIDAK DICANTUMKAN
394,DKI Jakarta,TIDAK DICANTUMKAN
395,Kepulauan Riau,D3
396,DKI Jakarta,TIDAK DICANTUMKAN
397,Banten,TIDAK DICANTUMKAN
398,DKI Jakarta,TIDAK DICANTUMKAN
399,DKI Jakarta,TIDAK DICANTUMKAN
400,DKI Jakarta,TIDAK DICANTUMKAN
